Model,Anchor,Anchor Shape,Anchor Texture,Shape Match,Texture Match,Metric,Shape Distance,Texture Distance,Shape Match Closer,Texture Match Closer
resnet50_random,truck5-bird2,truck5,bird2,truck5-knife3,knife1-bird2,cos,0.9996786117553711,0.9979709386825562,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-knife3,elephant8-bird2,cos,0.9996786117553711,0.9993839263916016,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,cat10-bird2,cos,0.9997002482414246,0.9993902444839478,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,cat4-bird2,cos,0.9997002482414246,0.9986575245857239,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,cat8-bird2,cos,0.9997002482414246,0.9990381002426147,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,car3-bird2,cos,0.9997002482414246,0.9993360638618469,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,dog3-bird2,cos,0.9997002482414246,0.9987247586250305,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,bear6-bird2,cos,0.9997002482414246,0.9989248514175415,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,bear1-bird2,cos,0.9997002482414246,0.9990715384483337,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,boat8-bird2,cos,0.9997002482414246,0.9993425011634827,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,oven2-bird2,cos,0.9997002482414246,0.9985522031784058,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,chair6-bird2,cos,0.9997002482414246,0.9984729886054993,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,truck3-bird2,cos,0.9997002482414246,0.999509334564209,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,truck2-bird2,cos,0.9997002482414246,0.9996629953384399,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,truck7-bird2,cos,0.9997002482414246,0.9994099140167236,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,airplane5-bird2,cos,0.9997002482414246,0.9992266297340393,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,bicycle8-bird2,cos,0.9997002482414246,0.9984369874000549,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,keyboard1-bird2,cos,0.9997002482414246,0.9993425011634827,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,clock9-bird2,cos,0.9997002482414246,0.9991945624351501,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,knife1-bird2,cos,0.9997002482414246,0.9979709386825562,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-keyboard1,elephant8-bird2,cos,0.9997002482414246,0.9993839263916016,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,cat10-bird2,cos,0.999186635017395,0.9993902444839478,0,1
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,cat4-bird2,cos,0.999186635017395,0.9986575245857239,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,cat8-bird2,cos,0.999186635017395,0.9990381002426147,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,car3-bird2,cos,0.999186635017395,0.9993360638618469,0,1
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,dog3-bird2,cos,0.999186635017395,0.9987247586250305,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,bear6-bird2,cos,0.999186635017395,0.9989248514175415,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,bear1-bird2,cos,0.999186635017395,0.9990715384483337,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,boat8-bird2,cos,0.999186635017395,0.9993425011634827,0,1
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,oven2-bird2,cos,0.999186635017395,0.9985522031784058,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,chair6-bird2,cos,0.999186635017395,0.9984729886054993,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,truck3-bird2,cos,0.999186635017395,0.999509334564209,0,1
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,truck2-bird2,cos,0.999186635017395,0.9996629953384399,0,1
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,truck7-bird2,cos,0.999186635017395,0.9994099140167236,0,1
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,airplane5-bird2,cos,0.999186635017395,0.9992266297340393,0,1
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,bicycle8-bird2,cos,0.999186635017395,0.9984369874000549,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,keyboard1-bird2,cos,0.999186635017395,0.9993425011634827,0,1
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,clock9-bird2,cos,0.999186635017395,0.9991945624351501,0,1
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,knife1-bird2,cos,0.999186635017395,0.9979709386825562,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-car1,elephant8-bird2,cos,0.999186635017395,0.9993839263916016,0,1
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,cat10-bird2,cos,0.9997885823249817,0.9993902444839478,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,cat4-bird2,cos,0.9997885823249817,0.9986575245857239,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,cat8-bird2,cos,0.9997885823249817,0.9990381002426147,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,car3-bird2,cos,0.9997885823249817,0.9993360638618469,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,dog3-bird2,cos,0.9997885823249817,0.9987247586250305,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,bear6-bird2,cos,0.9997885823249817,0.9989248514175415,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,bear1-bird2,cos,0.9997885823249817,0.9990715384483337,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,boat8-bird2,cos,0.9997885823249817,0.9993425011634827,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,oven2-bird2,cos,0.9997885823249817,0.9985522031784058,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,chair6-bird2,cos,0.9997885823249817,0.9984729886054993,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,truck3-bird2,cos,0.9997885823249817,0.999509334564209,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,truck2-bird2,cos,0.9997885823249817,0.9996629953384399,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,truck7-bird2,cos,0.9997885823249817,0.9994099140167236,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,airplane5-bird2,cos,0.9997885823249817,0.9992266297340393,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,bicycle8-bird2,cos,0.9997885823249817,0.9984369874000549,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,keyboard1-bird2,cos,0.9997885823249817,0.9993425011634827,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,clock9-bird2,cos,0.9997885823249817,0.9991945624351501,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,knife1-bird2,cos,0.9997885823249817,0.9979709386825562,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-dog3,elephant8-bird2,cos,0.9997885823249817,0.9993839263916016,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,cat10-bird2,cos,0.9995887875556946,0.9993902444839478,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,cat4-bird2,cos,0.9995887875556946,0.9986575245857239,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,cat8-bird2,cos,0.9995887875556946,0.9990381002426147,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,car3-bird2,cos,0.9995887875556946,0.9993360638618469,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,dog3-bird2,cos,0.9995887875556946,0.9987247586250305,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,bear6-bird2,cos,0.9995887875556946,0.9989248514175415,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,bear1-bird2,cos,0.9995887875556946,0.9990715384483337,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,boat8-bird2,cos,0.9995887875556946,0.9993425011634827,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,oven2-bird2,cos,0.9995887875556946,0.9985522031784058,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,chair6-bird2,cos,0.9995887875556946,0.9984729886054993,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,truck3-bird2,cos,0.9995887875556946,0.999509334564209,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,truck2-bird2,cos,0.9995887875556946,0.9996629953384399,0,1
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,truck7-bird2,cos,0.9995887875556946,0.9994099140167236,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,airplane5-bird2,cos,0.9995887875556946,0.9992266297340393,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,bicycle8-bird2,cos,0.9995887875556946,0.9984369874000549,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,keyboard1-bird2,cos,0.9995887875556946,0.9993425011634827,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,clock9-bird2,cos,0.9995887875556946,0.9991945624351501,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,knife1-bird2,cos,0.9995887875556946,0.9979709386825562,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-airplane2,elephant8-bird2,cos,0.9995887875556946,0.9993839263916016,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-cat3,cat10-bird2,cos,0.9996142983436584,0.9993902444839478,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-cat3,cat4-bird2,cos,0.9996142983436584,0.9986575245857239,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-cat3,cat8-bird2,cos,0.9996142983436584,0.9990381002426147,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-cat3,car3-bird2,cos,0.9996142983436584,0.9993360638618469,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-cat3,dog3-bird2,cos,0.9996142983436584,0.9987247586250305,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-cat3,bear6-bird2,cos,0.9996142983436584,0.9989248514175415,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-cat3,bear1-bird2,cos,0.9996142983436584,0.9990715384483337,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-cat3,boat8-bird2,cos,0.9996142983436584,0.9993425011634827,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-cat3,oven2-bird2,cos,0.9996142983436584,0.9985522031784058,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-cat3,chair6-bird2,cos,0.9996142983436584,0.9984729886054993,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-cat3,truck3-bird2,cos,0.9996142983436584,0.999509334564209,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-cat3,truck2-bird2,cos,0.9996142983436584,0.9996629953384399,0,1
resnet50_random,truck5-bird2,truck5,bird2,truck5-cat3,truck7-bird2,cos,0.9996142983436584,0.9994099140167236,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-cat3,airplane5-bird2,cos,0.9996142983436584,0.9992266297340393,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-cat3,bicycle8-bird2,cos,0.9996142983436584,0.9984369874000549,1,0
resnet50_random,truck5-bird2,truck5,bird2,truck5-cat3,keyboard1-bird2,cos,0.9996142983436584,0.9993425011634827,1,0
